1791779,CN,中国,海南,万宁市
1796663,CN,中国,福建,三明市
1796669,CN,中国,河南,三门峡市
1796236,CN,中国,上海,上海
7072498,CN,中国,浙江省,上海
1787858,CN,中国,江西,上饶
8368650,CN,中国,浙江省,下门
1812284,CN,中国,江西,东山
1812545,CN,中国,广东,东莞市
1812101,CN,中国,山东省,东营市
1803245,CN,中国,浙江省,丽水
1810240,CN,中国,云南,个旧市
6559575,CN,中国,西藏自治区,中
1916168,CN,中国,广东,中围
1915223,CN,中国,广东,中山
1811227,CN,中国,北京市,丰台
1803331,CN,中国,甘肃,临夏城关镇
1806146,CN,中国,云南,临安
1796228,CN,中国,福建,临江
1803567,CN,中国,山西,临汾
1803422,CN,中国,浙江省,临海
1814870,CN,中国,浙江省,义乌
2037886,CN,中国,辽宁,丹东市
1978048,CN,中国,福建,丹洲
1813802,CN,中国,江苏省,丹阳
1529102,CN,中国,新疆,乌鲁木齐
1804153,CN,中国,四川省,乐山
1785952,CN,中国,浙江省,乐清
1805179,CN,中国,江西,九江市
7059642,CN,中国,湖南,云南
1785725,CN,中国,广东,云浮
1816234,CN,中国,安徽,亳州
2006742,CN,中国,福建,仙友
1790414,CN,中国,浙江省,仙居
1797181,CN,中国,河北省,任丘市
2033413,CN,中国,黑龙江省,伊春
1788267,CN,中国,安徽,休宁县
1785545,CN,中国,浙江省,余姚
1811103,CN,中国,广东,佛山市
2036581,CN,中国,黑龙江省,佳木斯市
6422081,CN,中国,湖南,保安
1816971,CN,中国,河北省,保定市
1812057,CN,中国,广东,信宜
1807683,CN,中国,河南,偃师城关镇
1529401,CN,中国,新疆,克拉玛依
1797352,CN,中国,广西壮族自治区,全州
1802206,CN,中国,安徽,六安
1804430,CN,中国,甘肃,兰州
6981365,CN,中国,四川省,兴业
1807566,CN,中国,贵州,兴义
6981911,CN,中国,浙江省,内孟
1799491,CN,中国,四川省,内江市
1811416,CN,中国,福建,凤城
8367793,CN,中国,浙江省,前蒋
2038432,CN,中国,内蒙古自治区,包头市
1816670,CN,中国,北京市,北京
1816625,CN,中国,浙江省,北仑
1913396,CN,中国,广东,北津
1816705,CN,中国,广西壮族自治区,北海市
1816790,CN,中国,重庆,北碚
1794903,CN,中国,湖北省,十堰
1795402,CN,中国,福建,十方
1280013,CN,中国,云南,升平
1799962,CN,中国,江苏省,南京
1800146,CN,中国,四川省,南充
1917962,CN,中国,福建,南坪
1799869,CN,中国,广西壮族自治区,南宁
1788572,CN,中国,河南,南干道
1912606,CN,中国,天津市,南开
1800163,CN,中国,江西,南昌
9995902,CN,中国,广西壮族自治区,南桶石
1799967,CN,中国,广东,南街
7843770,CN,中国,江苏省,南进
1799722,CN,中国,江苏省,南通
1799629,CN,中国,河南,南阳市
1799897,CN,中国,山东省,南麻镇
1816303,CN,中国,广西壮族自治区,博白
1787279,CN,中国,河南,原阳城关镇
1790645,CN,中国,福建,厦门市
1794571,CN,中国,福建,双溪
2034786,CN,中国,黑龙江省,双鸭山市
1809380,CN,中国,重庆,古南
1809610,CN,中国,湖北省,古城城关镇
1793700,CN,中国,广东,台城
9816551,CN,中国,江苏省,叶庄
1808612,CN,中国,四川省,合江
1808722,CN,中国,安徽,合肥
1806445,CN,中国,江西,吉安
2036502,CN,中国,吉林,吉林市
1800829,CN,中国,广东,吴川
1784130,CN,中国,河南,周口市
1548884,CN,中国,江苏省,周山
1985105,CN,中国,浙江省,周山
2036892,CN,中国,内蒙古自治区,呼和浩特市
1790353,CN,中国,陕西,咸阳
1529484,CN,中国,新疆,哈密地区
2037013,CN,中国,黑龙江省,哈尔滨
1928504,CN,中国,湖南,响滩
1793307,CN,中国,河北省,唐县
1783934,CN,中国,河南,商丘市
1280849,CN,中国,新疆,喀什
1805953,CN,中国,浙江省,嘉兴
1786067,CN,中国,湖北省,园林
1809517,CN,中国,广东,圭岗
1789188,CN,中国,福建,城东
1786640,CN,中国,湖北省,城中
1796527,CN,中国,陕西,城关镇
1804873,CN,中国,浙江省,城关镇
1808872,CN,中国,福建,城阳
1793424,CN,中国,天津市,塘沽
1793440,CN,中国,湖南,塘渡口
2037799,CN,中国,山西,大同市
8273114,CN,中国,江苏省,大周
7629132,CN,中国,黑龙江省,大庆
1798998,CN,中国,四川省,大渡口
1814093,CN,中国,云南,大理市
1974432,CN,中国,福建,大祖
8273026,CN,中国,江苏省,大营
1814087,CN,中国,辽宁,大连
1792889,CN,中国,浙江省,天台
1792947,CN,中国,天津市,天津
1791536,CN,中国,山东省,天福
1793511,CN,中国,山西,太原
2035261,CN,中国,黑龙江省,太和
1791739,CN,中国,四川省,太平
1529355,CN,中国,新疆,奎屯
1815482,CN,中国,山东省,奎聚
1791673,CN,中国,山东省,威海
1806097,CN,中国,福建,宁德市
1799397,CN,中国,浙江省,宁波
1799384,CN,中国,浙江省,宁海
1817993,CN,中国,安徽,安庆市
1789065,CN,中国,陕西,安康
2038650,CN,中国,黑龙江省,安达
1785294,CN,中国,河南,安阳市
1817968,CN,中国,贵州,安顺市
1812749,CN,中国,甘肃,定西
1786760,CN,中国,江苏省,宜城
1786770,CN,中国,四川省,宜宾
6825231,CN,中国,云南,宜政
1786764,CN,中国,湖北省,宜昌市
1793743,CN,中国,安徽,宿州市
1923411,CN,中国,江西,寺里
1794781,CN,中国,安徽,寿春
1788046,CN,中国,河南,将官池
6906058,CN,中国,福建,小干
2035002,CN,中国,黑龙江省,尚志
1915161,CN,中国,广东,山尾村
7930300,CN,中国,西藏自治区,岗堆
1795647,CN,中国,浙江省,嵊州市
1813016,CN,中国,河南,嵩阳
1815427,CN,中国,安徽,巢湖市
1816807,CN,中国,四川省,巴州
1815456,CN,中国,江苏省,常州市
1791121,CN,中国,湖南,常德
1798760,CN,中国,甘肃,平凉
1798846,CN,中国,福建,平川
2035469,CN,中国,北京市,平谷
1798636,CN,中国,山西,平遥县
1798827,CN,中国,河南,平顶山市
1806466,CN,中国,四川省,广元市
1799194,CN,中国,四川省,广安
1809858,CN,中国,广东,广州
8359698,CN,中国,江苏省,广西
1797438,CN,中国,山东省,庄园
1529376,CN,中国,新疆,库尔勒
1804816,CN,中国,甘肃,康县
1804540,CN,中国,河北省,廊坊市
1804120,CN,中国,广东,廉江
1529569,CN,中国,新疆,延安北路
1787165,CN,中国,河南,延津城关镇
1804879,CN,中国,河南,开封市
1804850,CN,中国,云南,开远
8262308,CN,中国,江苏省,张安村
2033196,CN,中国,河北省,张家口市
1785036,CN,中国,甘肃,张掖
1919477,CN,中国,广东,径门
1787824,CN,中国,江苏省,徐州
1812955,CN,中国,山东省,德州市
1812961,CN,中国,四川省,德阳市
2036287,CN,中国,吉林,快大茂
1788450,CN,中国,山西,忻州
1807689,CN,中国,湖南,怀化市
2036766,CN,中国,北京市,怀柔
1811729,CN,中国,广东,思城
1811720,CN,中国,湖北省,恩施
1806776,CN,中国,广东,惠州市
1815286,CN,中国,四川省,成都
1811528,CN,中国,湖北省,房县城关镇
1811542,CN,中国,北京市,房山
1787227,CN,中国,江苏省,扬州市
2037355,CN,中国,辽宁,抚顺市
